  X101_PU	X102_PU	X103_PU	X104_PU	X105_PU	X106_PU	X107_PU1	X107_PU2	X108_PU	X109_PU	X110_PU	X111_PU	X112_PU	X113_PU	X114_PU	X115_PU	X116_PU	X117_PU	X118_PU	X119_PU	X120_PU	X121_PU	X122_PU	X123_PU	X124_PU	X125_PU	X126_PU	X127_PU	X128_PU	X129_PU	X130_PU	X131_PU	X132_PU	X133_PU	X134_PU	X135_PU	X136_PU	X137_PU	X138_PU	X139_PU	X140_PU	X141_PU	X142_PU	X143_PU	X144_PU	X145_PU	X146_PU	X147_PU	X148_PU	X149_PU	X150_PU	X151_PU	X152_PU	X153_PU	X154_PU	X155_PU	X156_PU	X157_PU	X158_PU	X159_PU	X160_PU	X161_PU	X162_PU	X163_PU	X164_PU	X165_PU	X166_PU	X167_PU	X168_PU	X169_PU	X170_PU	X171_PU	X172_PU	X173_PU	X174_PU	X175_PU	X176_PU	X177_PU	X178_PU	X179_PU	X180_PU	X181_PU	X182_PU	X183_PU	X184_PU	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X456_PU	X457_PU	X458_PU	X459_PU	X460_PU	X461_PU	X462_PU	X463_PU	X464_PU	X465_PU	X466_PU	X467_PU	X468_PU	X469_PU	X470_PU	X471_PU	X472_PU	X473_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU
SV_20	0	33	317	7	0	14	0	0	0	28	276	0	11	165	35	0	0	0	43	221	11	84	70	16	15	0	0	26	165	469	0	508	0	399	370	10	14	0	0	390	24	0	0	5	16	0	0	23	120	1451	314	0	0	647	127	3554	16	66	587	75108	0	0	119	168	150	63	0	0	11	0	0	148	5	0	541	0	0	19	342	0	27	194	43	0	199	10	7	0	0	0	0	0	0	0	21	24	0	38	7	0	0	0	57	0	382	0	0	36	81	104	0	0	31	0	0
SV_21	549	57	0	0	0	0	0	50	21	0	1618	0	0	0	7886	21	30	0	102	498	279	0	0	0	0	0	10	200	0	23	0	10	4	6	0	167	553	2378	41	61477	20	53	11	35	389	39	0	5721	0	78	99	0	38	0	5	0	31	96	0	0	16	7	19	0	10	0	29	0	0	6	0	28	42	101	7	0	24	24	0	0	0	0	0	14	0	14	56	0	0	0	0	0	0	248	405	0	0	223	0	0	8	7	18	0	0	0	0	136	0	0	0	0	0	0	0
SV_22	0	0	133	135	0	239	52	63	11	184	200	496	1160	6036	237	32	67	125	14	658	186	13	434	0	51	86	74	0	175	0	0	44	76	478	31	550	186	62	0	70	0	124	132	90	221	155	215	0	61	1737	148	102	0	789	162	29	43	0	324	170	0	19	0	1862	128	497	158	6	272	38	6	35	0	0	0	48	88	427	19	59	45	54	126	433	93	84	39	311	74	24	33	0	66	57	22	0	108	0	18	66	66	49	372	33	59	0	6	119	42	50	0	38	99	202	4
SV_23	135	0	0	736	0	0	100	0	0	825	0	0	0	0	0	0	100	0	0	50	0	120	204	120	0	256	0	0	0	0	63255	0	225	2476	0	0	1383	0	0	0	261	0	138	0	0	944	0	0	0	0	0	0	0	0	0	0	171	218	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1092	0	0	0	0	0	115	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_24	0	0	105	158	49	105	36	50	0	54	131	438	988	5242	135	0	59	115	0	607	200	0	290	37	50	53	45	0	210	0	0	48	54	191	24	602	187	69	0	58	19	133	137	47	123	68	137	0	0	1126	111	99	0	816	147	0	0	0	251	141	6	0	20	1564	69	328	168	0	231	0	0	26	0	6	22	36	0	537	0	37	0	0	141	302	35	76	41	202	47	40	0	0	61	44	0	0	124	54	0	41	58	23	318	0	0	8	0	89	0	0	0	46	90	176	0
SV_25	1627	48	26	83	875	0	325	4	58	12	1180	0	52	0	2974	48	707	444	85	98	79	42	139	0	27	32	367	7	19	14	54	750	36	140	68	669	52	2490	2170	2902	200	30	191	13	94	9	0	12	24	249	33	10	22	12505	54	0	16962	136	43	55	55	12	31	165	28	1256	18	385	7	4	62	24	17	13	18	169	40	5	33	28	23	16	2008	122	21	107	32	0	11	304	25	8	6	0	1119	122	0	40	328	16	0	17	88	11	6948	13	43	2890	0	0	21	85	63	952	0
SV_26	650	149	0	78	0	0	0	0	34	0	0	0	0	0	0	0	0	24	0	339	0	0	0	0	0	0	0	422	0	33	0	0	0	0	0	222	324	347	1725	63719	0	95	92	98	159	0	0	156	0	0	0	0	46	0	0	0	0	0	0	0	63	17	17	0	0	0	55	0	0	12	0	0	37	80	0	0	65	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0
SV_27	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	94	0	0	0	0	0	182	0	63085	0	83	0	183	0	113	82	0	0	153	0	0	0	0	70	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_28	873	155	26	225	0	0	143	15	28	256	27	54	70	0	107	41	5691	169	17	23	65	306	0	0	371	43	25	25	20	50	78	36	98	16	17	84	1506	40	6	82	0	72	118	29	243	219	0	74	164	136	44	3720	47	25	15	10	287	27	64	51	24	0	148	173	1857	12	8339	70	51	0	34	89	369	26	35	0	55	0	47	0	33	30	95	172	0	10	170	0	0	103	0	0	0	0	412	157	0	767	34	0	298	199	242	22	10	11	0	15	0	0	81	2073	26	0	0
SV_29	56	0	0	0	0	72	0	59614	0	123	0	26	64	34	116	0	0	24	226	32	41	0	0	0	97	326	84	0	0	0	0	0	0	0	0	0	307	35	0	1897	0	0	0	0	0	85	61	0	0	0	0	0	0	0	0	163	0	238	0	29	0	29	0	0	0	68	0	0	55	0	0	367	0	0	126	0	0	105	0	0	103	0	0	0	0	0	0	0	0	0	573	0	0	0	0	0	0	0	10	326	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0
SV_30	120	30	119	31	2906	10	13	12	39	14	1096	0	4	21	1200	0	60	31	32	263	31	12	23	24	27	12	966	0	107	0	0	263	0	174	176	109	49	494	37	8315	606	63	184	0	62	25	0	200	73	184	147	3	64	9230	58	4	960	35	14	124	25	0	21	53	131	139	46	19	0	6	6	96	10	64	10	12	43	8	154	0	8	40	1068	32	111	160	96	0	0	1420	5	7	4	0	1610	25	0	165	92	0	0	4	130	0	10	12	136	31	0	7	9	74	5	0	0
SV_31	103	0	0	0	19	0	0	0	0	0	0	0	0	0	11	0	24	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	39	35	126	0	0	0	0	5	0	0	0	0	12	0	0	0	0	0	0	11	0	0	0	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	29	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	128	0	0	17	0	32	0	0
SV_32	10	0	6	0	2660	0	0	179	0	0	0	0	0	0	0	0	755	0	0	31	0	0	1189	0	0	125	447	0	15	0	0	1905	0	0	0	0	50	0	0	0	15	0	0	0	0	4	5	31	6	17	37	0	0	16	0	14	7	2558	0	0	0	0	10	0	0	0	30	0	10	0	34	171	0	0	0	0	0	15	0	0	0	0	10	41	0	14	1778	32	0	0	41608	0	0	0	497	113	0	195	11	118	4	0	0	0	0	0	8	517	0	319	0	0	57	32	0
SV_33	0	0	0	0	0	65	0	50022	0	125	0	0	64	0	99	0	0	0	225	0	55	0	0	0	86	331	56	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	81	49	0	0	0	0	0	0	0	0	152	0	154	0	0	0	39	0	0	0	58	0	0	49	0	0	286	0	0	129	0	0	83	0	0	128	0	0	0	0	0	0	0	0	0	531	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_34	0	0	82	75	143	0	0	0	0	0	60	0	20	227	1554	0	0	0	0	144	52	0	328	58	0	0	0	31	135	0	0	317	0	131	143	0	0	259	0	0	1375	281	0	12	0	0	0	0	88	156	94	0	0	278	88	0	0	106	0	87	0	0	0	479	76	245	0	0	0	0	0	81	0	0	0	0	0	0	137	0	0	49	1102	0	109	75	0	0	0	178	64	0	0	0	0	0	0	113	69	173	0	8	107	0	9	0	0	121	0	0	0	0	0	0	0
